Marca temporal,"Antes de esta actividad, ¿Qué tanto entendías sobre fenómenos ondulatorios?","Luego de la actividad con la maqueta, ¿Cómo calificarías tu comprensión actual del tema?","¿Comprendes ahora mejor conceptos como longitud de onda, amplitud, frecuencia y velocidad de propagación?",¿Pudiste observar y entender el comportamiento de las ondas a través de la maqueta?,¿Sentiste que aplicar lo aprendido a una situación real (como el movimiento de una ola) ayudó a comprender mejor el contenido?,¿Qué tan útil fue la maqueta para visualizar el fenómeno ondulatorio?,¿Recomendarías el uso de esta herramienta en futuras clases?,¿Te gustaría que se implementen más actividades prácticas como esta?,Consideras que hay aspectos a mejorar en la explicación junto a la maqueta
2025-06-01 00:00:00,Poco,Mucho,Algo,Totalmente,Algo,Extremadamente útil,Sí,Sí,Tal vez
2025-06-01 00:01:00,Poco,Algo,Totalmente,Mucho,Algo,Algo útil,Sí,Sí,Sí
2025-06-01 00:02:00,Poco,Mucho,Totalmente,Algo,Mucho,Muy útil,Sí,Sí,No
2025-06-01 00:03:00,Nada,Mucho,Mucho,Algo,Mucho,Algo útil,Sí,Sí,No
2025-06-01 00:04:00,Algo,Totalmente,Mucho,Algo,Totalmente,Algo útil,Sí,Sí,Tal vez
2025-06-01 00:05:00,Algo,Totalmente,Totalmente,Algo,Mucho,Extremadamente útil,Sí,Sí,No
2025-06-01 00:06:00,Algo,Algo,Algo,Algo,Mucho,Muy útil,Sí,Sí,No
2025-06-01 00:07:00,Nada,Totalmente,Algo,Algo,Totalmente,Extremadamente útil,Sí,Sí,Tal vez
2025-06-01 00:08:00,Algo,Algo,Mucho,Totalmente,Mucho,Algo útil,No,Sí,Tal vez
2025-06-01 00:09:00,Nada,Algo,Algo,Mucho,Mucho,Extremadamente útil,Sí,Sí,Sí
2025-06-01 00:10:00,Nada,Algo,Mucho,Mucho,Totalmente,Algo útil,Sí,Sí,Tal vez
2025-06-01 00:11:00,Algo,Totalmente,Mucho,Mucho,Totalmente,Muy útil,Sí,Sí,Tal vez
2025-06-01 00:12:00,Poco,Totalmente,Algo,Algo,Mucho,Algo útil,Sí,Sí,Sí
2025-06-01 00:13:00,Algo,Algo,Algo,Algo,Totalmente,Algo útil,Sí,Sí,Tal vez
2025-06-01 00:14:00,Algo,Algo,Algo,Totalmente,Mucho,Algo útil,Sí,No,Sí
2025-06-01 00:15:00,Nada,Algo,Totalmente,Totalmente,Algo,Algo útil,Sí,Sí,No
2025-06-01 00:16:00,Algo,Mucho,Totalmente,Totalmente,Algo,Extremadamente útil,Sí,Sí,No
2025-06-01 00:17:00,Poco,Totalmente,Algo,Totalmente,Mucho,Extremadamente útil,Sí,Sí,Sí
2025-06-01 00:18:00,Algo,Mucho,Totalmente,Totalmente,Algo,Algo útil,Sí,Sí,No
2025-06-01 00:19:00,Nada,Totalmente,Algo,Totalmente,Mucho,Extremadamente útil,Sí,Sí,Tal vez
2025-06-01 00:20:00,Algo,Algo,Totalmente,Totalmente,Mucho,Extremadamente útil,Sí,Sí,Sí
2025-06-01 00:21:00,Nada,Mucho,Algo,Totalmente,Totalmente,Muy útil,Sí,Sí,Sí
2025-06-01 00:22:00,Poco,Mucho,Algo,Algo,Totalmente,Muy útil,Sí,No,Sí
2025-06-01 00:23:00,Nada,Mucho,Algo,Totalmente,Totalmente,Extremadamente útil,Sí,No,Sí
2025-06-01 00:24:00,Algo,Mucho,Mucho,Mucho,Algo,Algo útil,Sí,Sí,No
2025-06-01 00:25:00,Algo,Mucho,Algo,Totalmente,Algo,Algo útil,Sí,No,Sí
2025-06-01 00:26:00,Algo,Totalmente,Totalmente,Mucho,Totalmente,Muy útil,Sí,Sí,Sí
2025-06-01 00:27:00,Poco,Totalmente,Totalmente,Totalmente,Algo,Extremadamente útil,Sí,Sí,No
2025-06-01 00:28:00,Algo,Algo,Algo,Totalmente,Totalmente,Extremadamente útil,Sí,Sí,Sí
2025-06-01 00:29:00,Algo,Mucho,Totalmente,Mucho,Mucho,Extremadamente útil,Sí,Sí,No
