Marca temporal,¿Has cursado previamente una asignatura relacionada con fenómenos ondulatorios o física?,"¿Qué tan familiarizado estás con los siguientes conceptos?
 (Marca una opción por cada ítem) [Longitud de onda]","¿Qué tan familiarizado estás con los siguientes conceptos?
 (Marca una opción por cada ítem) [Frecuencia]","¿Qué tan familiarizado estás con los siguientes conceptos?
 (Marca una opción por cada ítem) [Amplitud]","¿Qué tan familiarizado estás con los siguientes conceptos?
 (Marca una opción por cada ítem) [Velocidad de propagación]",¿Cómo describirías tu nivel de comprensión actual sobre cómo se propagan las ondas?,¿Te resulta fácil visualizar cómo se comporta una onda en un medio como el agua?,¿Crees que actividades prácticas pueden ayudarte a aprender mejor?,¿Qué esperas aprender en esta actividad relacionada con ondas?,¿Qué tipo de actividades te ayudan a aprender de mejor forma en asignaturas científicas?,¿Qué tan motivado estas por participar en esta actividad?
2025-06-01 00:00:00,No,1,1,1,1,Nada,Poco,Poco,Aprender de forma más dinámica.,Debates,3
2025-06-01 00:01:00,No,2,2,5,1,Poco,Algo,Algo,Relacionar la teoría con la práctica.,Ejercicios guiados,5
2025-06-01 00:02:00,Sí,5,3,2,1,Algo,Algo,Poco,Relacionar la teoría con la práctica.,Debates,1
2025-06-01 00:03:00,Sí,2,2,2,1,Nada,Mucho,Nada,Comprender cómo se comportan las ondas.,Clases prácticas,4
2025-06-01 00:04:00,Sí,3,1,2,4,Nada,Mucho,Nada,Aprender de forma más dinámica.,Ejercicios guiados,1
2025-06-01 00:05:00,Sí,2,2,1,2,Mucho,Poco,Algo,Aplicar los conceptos en un experimento real.,Simulaciones,5
2025-06-01 00:06:00,Sí,3,3,5,2,Algo,Mucho,Totalmente,Relacionar la teoría con la práctica.,Simulaciones,3
2025-06-01 00:07:00,Sí,4,2,2,4,Mucho,Mucho,Poco,Aprender de forma más dinámica.,Ejercicios guiados,4
2025-06-01 00:08:00,Sí,1,5,1,1,Algo,Poco,Nada,Relacionar la teoría con la práctica.,Videos educativos,2
2025-06-01 00:09:00,No,3,2,3,1,Mucho,Mucho,Nada,Aplicar los conceptos en un experimento real.,Simulaciones,2
2025-06-01 00:10:00,No,5,5,2,2,Mucho,Nada,Mucho,Aprender de forma más dinámica.,Videos educativos,5
2025-06-01 00:11:00,No,3,1,2,5,Mucho,Algo,Poco,Comprender cómo se comportan las ondas.,Videos educativos,5
2025-06-01 00:12:00,Sí,1,1,4,2,Algo,Algo,Nada,Aplicar los conceptos en un experimento real.,Videos educativos,1
2025-06-01 00:13:00,No,3,4,2,1,Mucho,Algo,Totalmente,Visualizar mejor los conceptos físicos.,Clases prácticas,3
2025-06-01 00:14:00,Sí,1,2,5,4,Algo,Nada,Mucho,Aprender de forma más dinámica.,Ejercicios guiados,2
2025-06-01 00:15:00,No,2,1,3,1,Mucho,Algo,Algo,Aplicar los conceptos en un experimento real.,Ejercicios guiados,4
2025-06-01 00:16:00,No,5,5,1,4,Mucho,Algo,Mucho,Comprender cómo se comportan las ondas.,Simulaciones,1
2025-06-01 00:17:00,No,1,2,5,2,Poco,Poco,Totalmente,Visualizar mejor los conceptos físicos.,Simulaciones,2
2025-06-01 00:18:00,Sí,1,3,3,4,Mucho,Nada,Totalmente,Relacionar la teoría con la práctica.,Debates,1
2025-06-01 00:19:00,Sí,1,3,5,3,Algo,Nada,Mucho,Visualizar mejor los conceptos físicos.,Videos educativos,3
2025-06-01 00:20:00,No,1,4,1,2,Nada,Nada,Nada,Aprender de forma más dinámica.,Ejercicios guiados,3
2025-06-01 00:21:00,No,3,3,1,1,Mucho,Nada,Nada,Aprender de forma más dinámica.,Clases prácticas,5
2025-06-01 00:22:00,Sí,1,3,5,1,Algo,Algo,Nada,Visualizar mejor los conceptos físicos.,Clases prácticas,4
2025-06-01 00:23:00,No,1,2,3,1,Nada,Poco,Totalmente,Aplicar los conceptos en un experimento real.,Debates,3
2025-06-01 00:24:00,No,2,1,1,1,Nada,Mucho,Poco,Comprender cómo se comportan las ondas.,Simulaciones,3
2025-06-01 00:25:00,No,1,4,3,1,Nada,Mucho,Totalmente,Aplicar los conceptos en un experimento real.,Ejercicios guiados,3
2025-06-01 00:26:00,Sí,2,2,3,1,Mucho,Poco,Poco,Relacionar la teoría con la práctica.,Videos educativos,1
2025-06-01 00:27:00,Sí,1,5,5,3,Mucho,Nada,Algo,Comprender cómo se comportan las ondas.,Debates,3
2025-06-01 00:28:00,Sí,2,3,3,2,Nada,Algo,Algo,Aplicar los conceptos en un experimento real.,Videos educativos,1
2025-06-01 00:29:00,No,3,3,1,1,Mucho,Algo,Totalmente,Relacionar la teoría con la práctica.,Videos educativos,5
